satisfaction,effort,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18,id,scope,productivity,squandering,stcov_c1,stcov_c2,stcov_c3,stcov_c4,stcov_c5,cluster,cluster_str,group_label
745.0,58,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,47,0.8333333333333334,12.844827586206897,0.32558139534883723,0.8064516128902186,0.8196721311441817,0.8437499999934083,0.8153846153804339,0.8636363636330924,2,2,Cluster 2 (n=13)
750.0,59,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,48,0.8333333333333334,12.711864406779661,0.313953488372093,0.7903225806324142,0.8524590163899489,0.8593749999932863,0.8153846153804339,0.8484848484816345,2,2,Cluster 2 (n=13)
761.0,60,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,49,0.7777777777777778,12.683333333333334,0.3023255813953488,0.7903225806324142,0.8524590163899489,0.8749999999931641,0.7999999999958974,0.8939393939360079,2,2,Cluster 2 (n=13)
771.0,62,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,50,0.8333333333333334,12.435483870967742,0.27906976744186046,0.822580645148023,0.8524590163899489,0.8593749999932863,0.8307692307649704,0.9090909090874656,2,2,Cluster 2 (n=13)
788.0,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,51,0.8333333333333334,12.3125,0.2558139534883721,0.8548387096636317,0.8852459016357163,0.8906249999930421,0.846153846149507,0.9090909090874656,2,2,Cluster 2 (n=13)
791.0,66,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,52,0.8888888888888888,11.984848484848484,0.23255813953488372,0.8548387096636317,0.8688524590128326,0.8906249999930421,0.8615384615340435,0.9242424242389233,2,2,Cluster 2 (n=13)
793.0,67,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,53,0.8333333333333334,11.835820895522389,0.22093023255813954,0.870967741921436,0.9016393442585999,0.8906249999930421,0.846153846149507,0.9090909090874656,2,2,Cluster 2 (n=13)
808.0,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,54,0.8888888888888888,11.882352941176471,0.20930232558139536,0.8870967741792404,0.9016393442585999,0.921874999992798,0.87692307691858,0.9242424242389233,2,2,Cluster 2 (n=13)
813.0,71,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,55,0.8888888888888888,11.450704225352112,0.1744186046511628,0.9032258064370448,0.9180327868814835,0.921874999992798,0.87692307691858,0.9242424242389233,2,2,Cluster 2 (n=13)
834.0,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,56,0.8888888888888888,11.583333333333334,0.16279069767441862,0.9032258064370448,0.9344262295043672,0.9374999999926759,0.8923076923031165,0.9696969696932967,2,2,Cluster 2 (n=13)
854.0,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,57,0.9444444444444444,11.236842105263158,0.11627906976744186,0.9354838709526535,0.9508196721272508,0.9687499999924317,0.9230769230721894,0.9848484848447544,2,2,Cluster 2 (n=13)
873.0,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,58,0.9444444444444444,10.646341463414634,0.046511627906976744,0.9677419354682623,0.983606557373018,0.9687499999924317,0.9692307692257989,0.9848484848447544,2,2,Cluster 2 (n=13)
893.0,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,1.0,10.383720930232558,0.0,0.999999999983871,0.9999999999959017,0.9999999999921876,0.9999999999948719,0.9999999999962121,2,2,Cluster 2 (n=13)
